word,translation,language,category,subcategory,part_of_speech,curriculum_level,example_sentence,example_translation,gender,article,base_word,,
la estación de metro,metro station,ES,home_local_area,places_in_town,noun,KS3,La estación de metro está concurrida.,The metro station is busy.,f,la,la estación de metro,,
la plaza,square / plaza,ES,home_local_area,places_in_town,noun,KS3,Nos vemos en la plaza mayor.,We'll meet in the main square.,f,la,la plaza,,
la tienda,shop,ES,home_local_area,places_in_town,noun,KS3,Hay muchas tiendas nuevas.,There are many new tiendas.,f,la,la tienda,,
el parking,parking lot,ES,home_local_area,places_in_town,noun,KS3,El parking está lleno.,The parking lot is full.,m,el,el parking,,
el mercado,market,ES,home_local_area,places_in_town,noun,KS3,Compramos fruta fresca en el mercado.,We buy fresh fruit at the market.,m,el,el mercado,,
la comisaría de policía,police station,ES,home_local_area,places_in_town,noun,KS3,La comisaría de policía está en la calle principal.,The police station is on the main street.,f,la,la comisaría de policía,,
el ayuntamiento,town hall,ES,home_local_area,places_in_town,noun,KS3,El ayuntamiento es un edificio antiguo.,The town hall is an old building.,m,el,el ayuntamiento,,
el aeropuerto,airport,ES,home_local_area,places_in_town,noun,KS3,Vamos al aeropuerto a recoger a mi tía.,We go to the airport to pick up my aunt.,m,el,el aeropuerto,,
la biblioteca,library,ES,home_local_area,places_in_town,noun,KS3,Estudio en la biblioteca.,I study in the library.,f,la,la biblioteca,,
el teatro,theatre,ES,home_local_area,places_in_town,noun,KS3,El teatro presenta una obra nueva.,The theatre is showing a new play.,m,el,el teatro,,
el centro de la ciudad,city center,ES,home_local_area,places_in_town,noun,KS3,Me gusta ir al centro de la ciudad.,I like to go to the city center.,m,el,el centro de la ciudad,,
la calle,street,ES,home_local_area,places_in_town,noun,KS3,La calle es muy concurrida.,The street is very busy.,f,la,la calle,,
la avenida,avenue,ES,home_local_area,places_in_town,noun,KS3,Vivo en una avenida ancha.,I live on a wide avenue.,f,la,la avenida,,
las afueras,suburbs / outskirts,ES,home_local_area,places_in_town,noun,KS3,Mi familia vive en las afueras.,My family lives in the suburbs.,f,las,las afueras,,
la escuela,school,ES,home_local_area,places_in_town,noun,KS3,Mi escuela es grande.,My school is big.,f,la,la escuela,,
el colegio,school (primary/secondary),ES,home_local_area,places_in_town,noun,KS3,Voy al colegio cada día.,I go to school every day.,m,el,el colegio,,
el polideportivo,sports center,ES,home_local_area,places_in_town,noun,KS3,Hago deporte en el polideportivo.,I do sports at the sports center.,m,el,el polideportivo,,
la gasolinera,gas station,ES,home_local_area,places_in_town,noun,KS3,Necesitamos parar en la gasolinera.,We need to stop at the gas station.,f,la,la gasolinera,,
la catedral,cathedral,ES,home_local_area,places_in_town,noun,KS3,La catedral es muy antigua y bonita.,The cathedral is very old and beautiful.,f,la,la catedral,,
la rambla,promenade / wide street,ES,home_local_area,places_in_town,noun,KS3,Paseamos por la rambla de la ciudad.,We walk along the city's promenade.,f,la,la rambla,,
el quiosco,kiosk / newsstand,ES,home_local_area,places_in_town,noun,KS3,Compro un periódico en el quiosco.,I buy a newspaper at the kiosk.,m,el,el quiosco,,
el centro comercial,shopping mall,ES,home_local_area,places_in_town,noun,KS3,Vamos al centro comercial los fines de semana.,We go to the shopping mall on weekends.,m,el,el centro comercial,,
la campagne,countryside,FR,home_local_area,places_in_town,noun,KS3,J'aime me promener à la campagne.,I like to walk in the countryside.,f,la,la campagne,,
le quartier,neighbourhood,FR,home_local_area,places_in_town,noun,KS3,J'habite dans un quartier calme.,I live in a quiet neighbourhood.,m,le,le quartier,,
le restaurant,restaurant,FR,home_local_area,places_in_town,noun,KS3,Nous mangeons dans un nouveau restaurant.,We eat at a new restaurant.,m,le,le restaurant,,
le cinéma,cinema,FR,home_local_area,places_in_town,noun,KS3,Nous allons au cinéma le vendredi.,We go to the cinema on Fridays.,m,le,le cinéma,,
la ville,city,FR,home_local_area,places_in_town,noun,KS3,Ma ville est grande.,My city is big.,f,la,la ville,,
le musée,museum,FR,home_local_area,places_in_town,noun,KS3,Le musée d'art est au centre.,The art museum is in the center.,m,le,le musée,,
le parc,park,FR,home_local_area,places_in_town,noun,KS3,Nous jouons au parc chaque après-midi.,We play in the park every afternoon.,m,le,le parc,,
le village,village / town,FR,home_local_area,places_in_town,noun,KS3,Ma grand-mère vit dans un petit village.,My grandmother lives in a small village.,m,le,le village,,
l'église,church,FR,home_local_area,places_in_town,noun,KS3,L'église a une haute tour.,The church has a tall tower.,f,l',l'église,,
la gare,train station,FR,home_local_area,places_in_town,noun,KS3,La gare est loin.,The train station is far away.,f,la,la gare,,
la boucherie,butcher shop,FR,home_local_area,places_in_town,noun,KS3,J'achète de la viande à la boucherie.,I buy meat at the butcher shop.,f,la,la boucherie,,
le supermarché,supermarket,FR,home_local_area,places_in_town,noun,KS3,Je vais au supermarché pour acheter de la nourriture.,I go to the supermarket to buy food.,m,le,le supermarché,,
la pharmacie,pharmacy,FR,home_local_area,places_in_town,noun,KS3,La pharmacie est ouverte tard.,The pharmacy stays open late.,f,la,la pharmacie,,
la boulangerie,bakery,FR,home_local_area,places_in_town,noun,KS3,J'achète du pain à la boulangerie.,I buy bread at the bakery.,f,la,la boulangerie,,
le salon de coiffure,hairdresser's,FR,home_local_area,places_in_town,noun,KS3,J'ai besoin d'aller au salon de coiffure.,I need to go to the hairdresser's.,m,le,le salon de coiffure,,
la poste,post office,FR,home_local_area,places_in_town,noun,KS3,J'envoie une lettre de la poste.,I send a letter from the post office.,f,la,la poste,,
la banque,bank,FR,home_local_area,places_in_town,noun,KS3,J'ai besoin d'aller à la banque.,I need to go to the bank.,f,la,la banque,,
l'hôpital,hospital,FR,home_local_area,places_in_town,noun,KS3,L'hôpital est près d'ici.,The hospital is near here.,m,l',l'hôpital,,
l'arrêt de bus,bus stop,FR,home_local_area,places_in_town,noun,KS3,J'attends le bus à l'arrêt.,I wait for the bus at the stop.,m,l',l'arrêt de bus,,
la station de métro,metro station,FR,home_local_area,places_in_town,noun,KS3,La station de métro est bondée.,The metro station is busy.,f,la,la station de métro,,
la place,square / plaza,FR,home_local_area,places_in_town,noun,KS3,On se voit sur la place principale.,We'll meet in the main square.,f,la,la place,,
le magasin,shop,FR,home_local_area,places_in_town,noun,KS3,Il y a beaucoup de nouveaux magasins.,There are many new shops.,m,le,le magasin,,
le parking,parking lot,FR,home_local_area,places_in_town,noun,KS3,Le parking est plein.,The parking lot is full.,m,le,le parking,,
le marché,market,FR,home_local_area,places_in_town,noun,KS3,On achète des fruits frais au marché.,We buy fresh fruit at the market.,m,le,le marché,,
le commissariat,police station,FR,home_local_area,places_in_town,noun,KS3,Le commissariat est dans la rue principale.,The police station is on the main street.,m,le,le commissariat,,
la mairie,town hall,FR,home_local_area,places_in_town,noun,KS3,La mairie est un bâtiment ancien.,The town hall is an old building.,f,la,la mairie,,
l'aéroport,airport,FR,home_local_area,places_in_town,noun,KS3,Nous allons à l'aéroport chercher ma tante.,We go to the airport to pick up my aunt.,m,l',l'aéroport,,
la bibliothèque,library,FR,home_local_area,places_in_town,noun,KS3,J'étudie à la bibliothèque.,I study in the library.,f,la,la bibliothèque,,
le théâtre,theatre,FR,home_local_area,places_in_town,noun,KS3,Le théâtre présente une nouvelle pièce.,The theatre is showing a new play.,m,le,le théâtre,,
le centre-ville,city center,FR,home_local_area,places_in_town,noun,KS3,J'aime aller au centre-ville.,I like to go to the city center.,m,le,le centre-ville,,
la rue,street,FR,home_local_area,places_in_town,noun,KS3,La rue est très animée.,The street is very busy.,f,la,la rue,,
l'avenue,avenue,FR,home_local_area,places_in_town,noun,KS3,J'habite dans une avenue large.,I live on a wide avenue.,f,l',l'avenue,,
la banlieue,suburb,FR,home_local_area,places_in_town,noun,KS3,Ma famille habite en banlieue.,My family lives in the suburbs.,f,la,la banlieue,,
l'école,school,FR,home_local_area,places_in_town,noun,KS3,Mon école est grande.,My school is big.,f,l',l'école,,
le centre sportif,sports center,FR,home_local_area,places_in_town,noun,KS3,Je fais du sport au centre sportif.,I do sports at the sports center.,m,le,le centre sportif,,
la station-service,gas station,FR,home_local_area,places_in_town,noun,KS3,Nous devons nous arrêter à la station-service.,We need to stop at the gas station.,f,la,la station-service,,
la cathédrale,cathedral,FR,home_local_area,places_in_town,noun,KS3,La cathédrale est très ancienne et belle.,The cathedral is very old and beautiful.,f,la,la cathédrale,,
le kiosque,kiosk / newsstand,FR,home_local_area,places_in_town,noun,KS3,J'achète un journal au kiosque.,I buy a newspaper at the kiosk.,m,le,le kiosque,,
le centre commercial,shopping mall,FR,home_local_area,places_in_town,noun,KS3,Nous allons au centre commercial le week-end.,We go to the shopping mall on weekends.,m,le,le centre commercial,,
das Land,countryside,DE,home_local_area,places_in_town,noun,KS3,Ich gehe gern aufs Land.,I like to go to the countryside.,n,das,das Land,,
das Viertel,neighbourhood,DE,home_local_area,places_in_town,noun,KS3,Ich wohne in einem ruhigen Viertel.,I live in a quiet neighbourhood.,n,das,das Viertel,,
das Restaurant,restaurant,DE,home_local_area,places_in_town,noun,KS3,Wir essen in einem neuen Restaurant.,We eat at a new restaurant.,n,das,das Restaurant,,
das Kino,cinema,DE,home_local_area,places_in_town,noun,KS3,Wir gehen freitags ins Kino.,We go to the cinema on Fridays.,n,das,das Kino,,
die Stadt,city,DE,home_local_area,places_in_town,noun,KS3,Meine Stadt ist groß.,My city is big.,f,die,die Stadt,,
das Museum,museum,DE,home_local_area,places_in_town,noun,KS3,Das Kunstmuseum ist im Zentrum.,The art museum is in the center.,n,das,das Museum,,
der Park,park,DE,home_local_area,places_in_town,noun,KS3,Wir spielen jeden Nachmittag im Park.,We play in the park every afternoon.,m,der,der Park,,
das Dorf,village,DE,home_local_area,places_in_town,noun,KS3,Meine Oma wohnt in einem kleinen Dorf.,My grandmother lives in a small village.,n,das,das Dorf,,
die Kirche,church,DE,home_local_area,places_in_town,noun,KS3,Die Kirche hat einen hohen Turm.,The church has a tall tower.,f,die,die Kirche,,
der Bahnhof,train station,DE,home_local_area,places_in_town,noun,KS3,Der Bahnhof ist weit weg.,The train station is far away.,m,der,der Bahnhof,,
die Metzgerei,butcher shop,DE,home_local_area,places_in_town,noun,KS3,Ich kaufe Fleisch in der Metzgerei.,I buy meat at the butcher shop.,f,die,die Metzgerei,,
der Supermarkt,supermarket,DE,home_local_area,places_in_town,noun,KS3,"Ich gehe zum Supermarkt, um Essen zu kaufen.",I go to the supermarket to buy food.,m,der,der Supermarkt,,
die Apotheke,pharmacy,DE,home_local_area,places_in_town,noun,KS3,Die Apotheke ist bis spät geöffnet.,The pharmacy stays open late.,f,die,die Apotheke,,
die Bäckerei,bakery,DE,home_local_area,places_in_town,noun,KS3,Ich kaufe Brot in der Bäckerei.,I buy bread at the bakery.,f,die,die Bäckerei,,
der Friseur,hairdresser's,DE,home_local_area,places_in_town,noun,KS3,Ich muss zum Friseur gehen.,I need to go to the hairdresser's.,m,der,der Friseur,,
die Post,post office,DE,home_local_area,places_in_town,noun,KS3,Ich schicke einen Brief von der Post.,I send a letter from the post office.,f,die,die Post,,
die Bank,bank,DE,home_local_area,places_in_town,noun,KS3,Ich muss zur Bank gehen.,I need to go to the bank.,f,die,die Bank,,
das Krankenhaus,hospital,DE,home_local_area,places_in_town,noun,KS3,Das Krankenhaus ist in der Nähe.,The hospital is near here.,n,das,das Krankenhaus,,
die Bushaltestelle,bus stop,DE,home_local_area,places_in_town,noun,KS3,Ich warte an der Bushaltestelle auf den Bus.,I wait for the bus at the bus stop.,f,die,die Bushaltestelle,,
die U-Bahn-Station,subway station,DE,home_local_area,places_in_town,noun,KS3,Die U-Bahn-Station ist belebt.,The subway station is busy.,f,die,die U-Bahn-Station,,
der Platz,square / plaza,DE,home_local_area,places_in_town,noun,KS3,Wir treffen uns auf dem Hauptplatz.,We'll meet in the main square.,m,der,der Platz,,
das Geschäft,shop,DE,home_local_area,places_in_town,noun,KS3,Es gibt viele neue Geschäfte.,There are many new shops.,n,das,das Geschäft,,
der Parkplatz,parking lot,DE,home_local_area,places_in_town,noun,KS3,Der Parkplatz ist voll.,The parking lot is full.,m,der,der Parkplatz,,
der Markt,market,DE,home_local_area,places_in_town,noun,KS3,Wir kaufen frisches Obst auf dem Markt.,We buy fresh fruit at the market.,m,der,der Markt,,
die Polizeiwache,police station,DE,home_local_area,places_in_town,noun,KS3,Die Polizeiwache ist in der Hauptstraße.,The police station is on the main street.,f,die,die Polizeiwache,,
das Rathaus,town hall,DE,home_local_area,places_in_town,noun,KS3,Das Rathaus ist ein altes Gebäude.,The town hall is an old building.,n,das,das Rathaus,,
der Flughafen,airport,DE,home_local_area,places_in_town,noun,KS3,"Wir fahren zum Flughafen, um meine Tante abzuholen.",We go to the airport to pick up my aunt.,m,der,der Flughafen,,
die Bibliothek,library,DE,home_local_area,places_in_town,noun,KS3,Ich lerne in der Bibliothek.,I study in the library.,f,die,die Bibliothek,,
das Theater,theatre,DE,home_local_area,places_in_town,noun,KS3,Das Theater zeigt ein neues Stück.,The theatre is showing a new play.,n,das,das Theater,,
das Stadtzentrum,city center,DE,home_local_area,places_in_town,noun,KS3,Ich gehe gern ins Stadtzentrum.,I like to go to the city center.,n,das,das Stadtzentrum,,
die Straße,street,DE,home_local_area,places_in_town,noun,KS3,Die Straße ist sehr belebt.,The street is very busy.,f,die,die Straße,,
die Allee,avenue,DE,home_local_area,places_in_town,noun,KS3,Ich wohne in einer breiten Allee.,I live on a wide avenue.,f,die,die Allee,,
der Vorort,suburb,DE,home_local_area,places_in_town,noun,KS3,Meine Familie wohnt im Vorort.,My family lives in the suburbs.,m,der,der Vorort,,
die Schule,school,DE,home_local_area,places_in_town,noun,KS3,Meine Schule ist groß.,My school is big.,f,die,die Schule,,
die Sporthalle,sports center,DE,home_local_area,places_in_town,noun,KS3,Ich mache Sport in der Sporthalle.,I do sports at the sports center.,f,die,die Sporthalle,,
die Tankstelle,gas station,DE,home_local_area,places_in_town,noun,KS3,Wir müssen an der Tankstelle halten.,We need to stop at the gas station.,f,die,die Tankstelle,,
der Dom,cathedral,DE,home_local_area,places_in_town,noun,KS3,Der Dom ist sehr alt und schön.,The cathedral is very old and beautiful.,m,der,der Dom,,
der Kiosk,kiosk / newsstand,DE,home_local_area,places_in_town,noun,KS3,Ich kaufe eine Zeitung am Kiosk.,I buy a newspaper at the kiosk.,m,der,der Kiosk,,
das Einkaufszentrum,shopping mall,DE,home_local_area,places_in_town,noun,KS3,Wir gehen am Wochenende ins Einkaufszentrum.,We go to the shopping mall on weekends.,n,das,das Einkaufszentrum,,
al lado del mar,at the seaside / by the sea,ES,holidays_travel_culture,travel_destinations_types,adverbial_phrase,KS3,Vamos de vacaciones al lado del mar.,We go on holiday to the seaside.,,,al lado del mar,,
en la montaña,in the mountains,ES,holidays_travel_culture,travel_destinations_types,adverbial_phrase,KS3,"En invierno, esquiamos en la montaña.","In winter, we ski in the mountains.",,,en la montaña,,
en el campo,in the countryside,ES,holidays_travel_culture,travel_destinations_types,adverbial_phrase,KS3,Preferimos pasar el verano en el campo.,We prefer to spend the summer in the countryside.,,,en el campo,,
en la ciudad,in the city / town,ES,holidays_travel_culture,travel_destinations_types,adverbial_phrase,KS3,Me gusta visitar museos en la ciudad.,I like to visit museums in the city.,,,en la ciudad,,
en el extranjero,abroad,ES,holidays_travel_culture,travel_destinations_types,adverbial_phrase,KS3,Este año vamos de viaje al extranjero.,This year we are traveling abroad.,,,en el extranjero,,
